Time_hours,Stem_cells,Buffer_cells,Producer_cells,Cumulative_yield
19.6996996996997,55131072.23667009,8177672.1051661465,936690784.1513271,8099.145667446903
19.747747747747745,54721998.1977003,8116993.614049614,937160557.3132149,8131.558241191644
19.795795795795797,54315959.45374599,8056765.349416742,937626844.0488856,8163.987006220021
19.843843843843842,53912933.45318278,7996983.966324302,938089670.2967813,8196.4318421908
19.89189189189189,53512897.840047576,7937646.148847762,938549061.7668085,8228.892629811591
19.93993993993994,53115830.43362166,7878748.607051064,939005043.9653078,8261.369250727803
19.98798798798799,52721709.22040002,7820288.0757960705,939457642.2048893,8293.861587478968
20.036036036036034,52330512.35242201,7762261.314496799,939906881.6064944,8326.36952348962
20.084084084084086,51942218.145601526,7704665.106873596,940352787.1014595,8358.892943060206
20.13213213213213,51556805.0780577,7647496.260707371,940795383.4335784,8391.431731357952
20.18018018018018,51174251.78844508,7590751.607593771,941234695.1611652,8423.98577440779
20.228228228228225,50794537.06522599,7534428.001313419,941670746.6691128,8456.554959035573
20.276276276276278,50417639.83763218,7478522.316460262,942103562.1790863,8489.13917282023
20.324324324324323,50043539.201820396,7423031.452447114,942533165.7208822,8521.738304231003
20.37237237237237,49672214.40601915,7367952.331245562,942959581.1490386,8554.35224254901
20.42042042042042,49303644.84818436,7313281.897037071,943382832.1456426,8586.980877854576
20.46846846846847,48937810.0741745,7259017.115943463,943802942.2225648,8619.624101017318
20.516516516516514,48574689.775926165,7205154.975757458,944219934.7236925,8652.28180368621
20.564564564564566,48214263.78962916,7151692.485673152,944633832.8271644,8684.953878279679
20.61261261261261,47856512.09425362,7098626.676067897,945044659.5471524,8717.640217977601
20.66066066066066,47501414.87654797,7045954.607992939,945452437.6502761,8750.34071708019
20.708708708708706,47148952.47894331,6993673.365561338,945857189.7223996,8783.055270720612
20.756756756756758,46799105.352285385,6941780.049041023,946258938.2292273,8815.783774604282
20.804804804804803,46451854.09178983,6890271.780103426,946657705.4700173,8848.526125207429
20.852852852852852,46107179.4358271,6839145.70164304,947053513.5790335,8881.282219770554
20.9009009009009,45765062.264707826,6788398.977597018,947446384.5269948,8914.051956291854
20.94894894894895,45425483.59946775,6738028.792764722,947836340.1225272,8946.83523352069
20.996996996996995,45088424.60065307,6688032.352627333,948223402.0136136,8979.631950950998
21.045045045045047,44753866.56852665,6638406.883379122,948607591.6871943,9012.442008822674
21.093093093093092,44421790.95701769,6589149.634006116,948988930.4508656,9045.265308199403
21.14114114114114,44092179.351181954,6540257.872928857,949367439.4621065,9078.101750843422
21.189189189189186,43765013.46887717,6491728.888252563,949743139.7259645,9110.951239225022
21.237237237237238,43440275.163235344,6443559.988135973,950116052.0917042,9143.813676536545
21.285285285285283,43117946.42156717,6395748.500628697,950486197.2541025,9176.68896668647
21.333333333333332,42798009.36426602,6348291.773508499,950853595.7547446,9209.577014293525
21.38138138138138,42480446.243712366,6301187.174118643,951218267.9833199,9242.47772468079
21.42942942942943,42165239.44317778,6254432.089205173,951580234.178917,9275.391003869807
21.477477477477475,41852371.47834676,6208023.925262967,951939514.4280262,9308.31675858942
