Time_hours,DOL_total_cells,DOL_stem_cells,DOL_buffer_cells,DOL_producer_cells,DOL_yield,Mono_cells,Mono_yield
5.525525525525525,750772383.7693429,364866261.21509606,50220656.91004807,335685465.64419883,343.57961345375764,317536257.6750166,257.60452237140447
5.573573573573573,759569936.2476215,366699607.00474805,50593511.23164448,342276818.0112291,355.3066418816981,324796998.57398343,265.0114424396775
5.621621621621622,768147844.9431398,368376714.6616648,50943978.33660265,348827151.9448724,367.26099593930076,332142962.41663575,272.58680530865126
5.66966966966967,776504938.7052662,369899719.5644342,51272098.78994251,355333120.35088956,379.441198040778,339571514.22270715,280.3325464606417
5.717717717717718,784640600.6011915,371271033.6435013,51577965.174926765,361791601.7827634,391.84565875669836,347079865.8631579,288.25053838705867
5.7657657657657655,792554742.2110475,372493321.66698104,51861719.65502734,368199700.88903916,404.4726845510812,354665079.7118814,296.3425876516953
5.813813813813813,800247773.8321704,373569476.7264924,52123551.086313345,374554746.0193646,417.3204856210069,362324073.4628184,304.61043239311357
5.861861861861862,807720574.4961522,374502596.6540702,52363692.08774145,380854285.7543406,430.3871835060372,370053620.6389636,313.05573716568887
5.90990990990991,814974464.298321,375295959.99205923,52582416.37806137,387096087.9282004,443.670818861971,377850355.6071443,321.680090021748
5.957957957957958,822011169.7187202,375953004.1909813,52780035.19581407,393278130.3319248,457.1693585834563,385710779.4705306,330.48500056618684
6.006006006006006,828832795.510597,376477301.7852062,52956894.59566093,399398599.1297298,470.88070350452784,393631265.20866907,339.47189664971324
6.0540540540540535,835441793.1852105,376872541.36571664,53113372.21536221,405455879.6041316,484.80269484516793,401608062.56526303,348.64212023515444
6.102102102102102,841840930.729578,377142504.4975993,53249874.278776206,411448551.9532025,498.93312170819155,409637304.8591048,357.9969250033698
6.15015015015015,848033263.648227,377291049.35647,53366832.62759072,417375381.66416633,513.2697269217579,417715015.8446601,367.5374754150947
6.198198198198198,854022104.5101404,377322089.1371919,53464701.6613547,423235313.7115938,527.810214150614,425837117.1877084,377.264842762077
6.246246246246246,859810996.97755,377239578.3653989,53543955.55386588,429027463.0582853,542.5522530899336,433999436.45356613,387.18000253505204
6.294294294294294,865403686.0852516,377047493.24688715,53605085.25904417,434751107.57932025,557.4934861035034,442197715.13333863,397.2838327868177
6.342342342342342,870804095.2775451,376749820.32731605,53648596.12927013,440405678.8209589,572.6315328065019,450427615.68105346,407.5771137340274
6.39039039039039,876016298.278141,376350539.1445917,53675005.02020681,445990754.1133425,587.9639961422081,458684732.80264753,418.0605240453119
6.438438438438438,881044499.0368011,375853613.0736494,53684838.208112344,451506047.7550393,603.4884663842015,466964602.6988713,428.7346396159518
6.486486486486486,885893005.8077631,375262974.4090158,53678628.71484888,456951402.68389845,619.2025266036379,475262711.01819646,439.59993300581715
6.534534534534534,890566213.8600919,374582517.1857052,53656914.47706925,462326782.19731754,635.1037561257997,483574501.24290717,450.6567729957597
6.5825825825825826,895068582.1968703,373816084.74581456,53620235.94123401,467632261.5098218,651.1897353579861,491895388.71994,461.9054222259781
6.63063063063063,899404618.6647899,372967464.0897389,53569134.544845335,472868020.0302056,667.4580487834384,500220770.04732054,473.34603702350535
6.678678678678678,903578859.8201597,372040376.09183383,53504150.624706514,478034333.10361934,683.9062890852812,508546029.1217585,484.9786679331653
6.726726726726726,907595858.3367842,371038471.2646111,53425822.14271942,483131564.92945373,700.5320596961789,516866549.60316,496.803259180979
6.774774774774774,911460165.617766,369965322.1102572,53334682.89284203,488160160.61466676,717.3329783341165,525177728.0267561,508.81964827233116
6.822822822822823,915176318.1348252,368824417.9429871,53231261.09920672,493120639.09263134,734.306679787141,533474982.9157758,521.0275665992566
6.870870870870871,918748829.8602421,367619163.9209042,53116078.6551161,498013587.2842218,751.4508174499562,541753758.9145977,533.4266406079137
6.918918918918918,922182180.9667096,366352878.179219,52989649.99358655,502839652.7939041,768.7630655477174,550009543.0584371,546.016392071158
6.966966966966966,925480802.0155183,365028783.7543298,52852480.56144561,507599537.6997429,786.2411224872561,558237875.0336517,558.7962391626343
7.015015015015014,928649069.2453169,363650010.07795274,52705066.38357221,512293992.7837919,803.8827117481279,566434354.7232183,571.765497810825
7.063063063063063,931691297.8725858,362219592.41049767,52547893.421833344,516923812.0402547,821.6855832391766,574594646.3433214,584.9233832300084
7.111111111111111,934611732.1104827,360740468.0610125,52381436.591421396,521489827.4580488,839.6475154088826,582714495.4467176,598.2690116340634
7.159159159159159,937414542.2062657,359215478.6342022,52206159.57273434,525992903.9993291,857.7663158100999,590789736.1552745,611.8014022181434
7.207207207207206,940103817.4434695,357647368.3470052,52022514.060083054,530433935.03638136,876.0398225210614,598816295.6358652,625.5194789672747
7.255255255255254,942683562.5555365,356038785.04117435,51830939.476992376,534813838.03736985,894.4659048950418,606790201.0104704,639.422072891287
7.303303303303303,945157694.103142,354392280.85851175,51631862.7676622,539133550.476968,913.0424643183303,614707592.3302878,653.5079250139601
7.351351351351351,947530036.4175104,352710312.22544223,51425698.25038986,543394025.9416783,931.7674350577922,622564727.8228077,667.7756889169219
7.399399399399399,949804320.4825163,350995242.2164549,51212847.492940344,547596230.773121,950.6387844897665,630357985.5005764,682.2239325978729
7.447447447447447,951984181.3151194,349249341.32304025,50993699.07561348,551741140.9164656,969.6545136071859,638083872.3254076,696.8511420755397
7.495495495495494,954073156.4131657,347474789.14586455,50768628.604921274,555829738.6623799,988.812657352359,645739031.2624539,711.6557248465635
7.543543543543543,956074685.8863719,345673676.77489644,50537998.8095441,559863010.3019313,1008.1112845834057,653320244.8498644,726.6360127936268
7.591591591591591,957992110.3359761,343848007.8434798,50302159.22802185,563841943.2644744,1027.5484984692494,660824435.7739812,741.7902641049814
7.639639639639639,959828672.1593423,341999701.1703996,50061446.99534206,567767523.9936006,1047.1224362386474,668248674.6507071,757.1166682531417
7.687687687687687,961587515.1898685,340130592.8056159,49816186.55207627,571640735.8321763,1066.83126920823,675590182.7259179,772.6133493891996
7.7357357357357355,963271685.2160482,338242438.26698506,49566689.81805306,575462557.1310102,1086.673202643313,682846333.4697075,788.2783692228039
7.783783783783784,964884130.9134717,336336914.8715125,49313256.52447162,579233959.5174876,1106.6464755320183,690014653.2447658,804.1097295347207
7.831831831831832,966427704.748889,334415623.8942191,49056174.39495983,582955906.45971,1126.7493603561354,697092824.959455,820.1053777554497
7.87987987987988,967905164.4974183,332480093.4377309,48795719.38715899,586629351.6725284,1146.9801627135078,704078688.2587043,836.2632101891238
7.927927927927928,969319174.2982042,330531780.243928,48532155.93049876,590255238.1237774,1167.3372210570685,710970239.7179586,852.5810743856212
7.975975975975976,970672306.6094728,328572072.6428681,48265737.26001455,593834496.70659,1187.8189062104282,717765632.6792773,869.0567730364374
8.024024024024024,971967043.272114,326602291.82186353,47996705.61317758,597368045.8370728,1208.4236211060072,724463176.6450016,885.6880688620787
8.072072072072071,973205778.534467,324623695.96959406,47725292.68714032,600856789.8777325,1229.1498000362812,731061336.0653275,902.47268781721
8.12012012012012,974390819.3499241,322637480.53370416,47451719.693065315,604301619.1231546,1249.9959085769726,737558730.1468756,919.4083210371499
8.168168168168169,975524389.614399,320644783.1801564,47176198.01705786,607703408.4171847,1270.960442514772,743954129.6831491,936.4926298107741
8.216216216216216,976608629.5123882,318646682.88079077,46898929.11354682,611063017.5180507,1292.0419280105452,750246454.335395,953.7232494025361
8.264264264264265,977645600.5831227,316644205.4756963,46620105.28415563,614381289.8232708,1313.2389203129162,756434770.465132,971.0977920498743
8.312312312312311,978637285.2220042,314638322.86486065,46339909.57189835,617659052.7852452,1334.550003872862,762518290.4564438,988.613848957001
8.36036036036036,979585591.0561689,312629957.5686744,46058516.40843804,620897117.0790565,1355.9737912220278,768496366.1861229,1006.268995413882
8.408408408408409,980492350.3121537,310619982.0921537,45776091.5243909,624096276.6956091,1377.508923135243,774368485.7079197,1024.0607937658428
8.456456456456456,981359324.9451349,308609223.27164316,45492792.61507734,627257309.0584143,1399.1540672675037,780134270.9932901,1041.9867959193693
8.504504504504505,982188209.465131,306598465.74588245,45208769.80869855,630380973.91055,1420.9079174542474,785793475.2598658,1060.0445458450965
8.552552552552552,982980630.7740743,304588451.0155071,44924165.61932581,633468014.1392413,1442.7691936798526,791345974.9684815,1078.2315838721652
8.600600600600599,983738149.0132169,302579877.69410425,44639115.04870245,636519156.2704102,1464.736641803899,796791766.2282352,1096.5454491674898
8.648648648648647,984462262.8958758,300573407.24351585,44353746.359384045,639535109.2929759,1486.8090322257983,802130963.2814884,1114.9836816847342
8.696696696696696,985154410.3835621,298569663.52953696,44068181.069069125,642516565.784956,1508.9851596474764,807363792.2710154,1133.543825171425
8.744744744744743,985815971.1390208,296569235.3627394,43782534.34039394,645464201.4358875,1531.26384242626,812490584.452523,1152.2234301702333
8.792792792792792,986448268.4026599,294572677.76791507,43496915.182879545,648378675.4518653,1553.6439220020816,817511772.1701767,1171.020056207282
8.840840840840839,987052570.9703535,292580513.4449589,43211426.68554832,651260630.8398463,1576.1242623231433,822427887.540988,1189.931273464253
8.888888888888888,987630095.4080176,290593234.73423207,42926166.34757654,654110694.326209,1598.703749275254,827239553.8213375,1208.954665583135
8.936936936936936,988182007.4796609,288611304.2773984,42641226.304314084,656929476.8979484,1621.3812902089705,831947480.2487137,1228.087831745869
8.984984984984983,988709424.5078568,286635157.11411256,42356693.60243827,659717573.791306,1644.1558133072258,836552458.1900172,1247.3283884882678
9.033033033033032,989213416.9388008,284665201.66313607,42072650.36458454,662475564.9110802,1667.0262670896914,841055358.9170556,1266.6739712679941
9.081081081081079,989695010.1038427,282701820.9582408,41789174.003389336,665204015.1422126,1689.991619885935,845457124.6178874,1286.1222365904594
9.129129129129128,990155186.2576108,280745374.2697035,41506337.50694679,667903474.4809605,1713.0508592678766,849758764.4423999,1305.6708635167815
9.177177177177176,990594885.7051454,278796197.6646459,41224209.514287814,670574478.5262116,1736.2029916436495,853961351.4077256,1325.3175551288844
9.225225225225225,991015008.9949706,276854605.73936236,40942854.61890249,673217548.6367058,1759.4470416514584,858066018.1493973,1345.060039913372
